Round,Pick,FantasyTeam,Name,team,Pos.
15,10,Puck Stops Here,,,
15,11,LaSoiréeDuHockeyMolson,,,
15,12,Mike is gonna Ryder Dyck,,,
16,1,Mike is gonna Ryder Dyck,,,
16,2,LaSoiréeDuHockeyMolson,,,
16,3,Puck Stops Here,,,
16,4,All Aboard the Cole Train,,,
16,5,Graham,,,
16,6,HYHusky,,,
16,7,Zeev Buium,,,
16,8,Meth Rhett,,,
16,9,Jordan,,,
16,10,What the Helena,,,
16,11,Take a Lachance on me,,,
16,12,Mac,,,
17,1,Mac,,,
17,2,Take a Lachance on me,,,
17,3,What the Helena,,,
17,4,Jordan,,,
17,5,Meth Rhett,,,
17,6,Zeev Buium,,,
17,7,HYHusky,,,
17,8,Graham,,,
17,9,All Aboard the Cole Train,,,
17,10,Puck Stops Here,,,
17,11,LaSoiréeDuHockeyMolson,,,
17,12,Mike is gonna Ryder Dyck,,,
